,Sample,DateTime,Location,depth,Salinity,In Situ Temperature,DIC (umol/kg),TA (umol/kg),pH (Total),pH (NBS),pH at 12.5°C (Total)
0,PLT 4/28/22 A,2022-04-28 11:30:00,PLT,surface,29.48,10.4,1893.8009023406862,2037.5249457760938,8.052269733842095,8.166989981715213,8.01771021890695
1,PLT 4/28/22 B,2022-04-28 11:30:00,PLT,surface,29.48,10.4,1893.7932159106301,2037.1181905886697,8.05121648785457,8.165936735727687,8.016662057390578
2,PLT 5/9/22 surf A,2022-05-09 11:30:00,PLT,surface,29.42,10.97,1946.5997602164528,2034.0190640452943,7.8726541222298865,7.988492076061542,7.8482605236326615
3,PLT 5/9/22 surf B,2022-05-09 11:30:00,PLT,surface,29.42,10.97,1917.4948265075307,2035.302900946767,7.969078230773638,8.084916184605293,7.944257028879399
4,PLT 5/22/22 bottom,2022-05-22 11:30:00,PLT,bottom,30.62,15.74,1938.1682182878433,2094.1618281629,7.9761608834263535,8.099120399771904,8.027880054247728
5,PLT 5/22/22 surf,2022-05-22 11:30:00,PLT,surface,30.49,15.74,1929.6880306869955,2080.789177432098,7.966829134882231,8.089961941359274,8.018463724975607
8,PLT 6/13/22,2022-06-13 11:30:00,PLT,surface,30.0619,20.8559,1963.399445765636,2031.9323774460743,7.65417505878136,7.7876032987548935,7.775973440591156
10,PLT 6/28/22,2022-06-28 11:30:00,PLT,surface,30.4,21.2832,1964.0413206093367,2056.673328108974,7.720514514408348,7.854410773257521,7.851050333537824
11,PLT 7/5/22,2022-07-05 11:30:00,PLT,surface,30.43,21.68,1950.9206437409641,2052.323802405868,7.741927302776599,7.876566734410984,7.878964286986381
12,PLT 7/11/22,2022-07-11 11:30:00,PLT,surface,30.74,22.91,2007.4704532839041,2072.1690317986217,7.603765498711067,7.740513505071272,7.752262399506279
13,PLT 7/19/22,2022-07-19 11:30:00,PLT,surface,30.73,23.3109,1944.5186652097325,2055.2714836935556,7.743041571463635,7.880595713826187,7.903717385838781
14,PLT 7/26/22,2022-07-26 11:30:00,PLT,surface,30.86,25.7072,1948.2502773662316,2061.7346683255682,7.716070094036773,7.858312309422574,7.909652602284945
15,PLT 8/1/22,2022-08-01 11:30:00,PLT,surface,31.21,24.28,1908.7902885450928,2054.950810465093,7.821188260632431,7.960232654440098,7.9988435891210345
