,avgWindSpeed,DateTime
0,1.17674,2022-01-01 00:00:00
1,0.982541,2022-01-01 00:10:00
2,0.321709,2022-01-01 00:20:00
3,0.650487,2022-01-01 00:30:00
4,0.277924,2022-01-01 00:40:00
5,1.19252,2022-01-01 00:50:00
6,1.58749,2022-01-01 01:00:00
7,1.80686,2022-01-01 01:10:00
8,1.83418,2022-01-01 01:20:00
9,0.879615,2022-01-01 01:30:00
10,0.707614,2022-01-01 01:40:00
11,0.579046,2022-01-01 01:50:00
12,0.695425,2022-01-01 02:00:00
13,0.710229,2022-01-01 02:10:00
14,0.478217,2022-01-01 02:20:00
15,0.778606,2022-01-01 02:30:00
16,0.587994,2022-01-01 02:40:00
17,0.483009,2022-01-01 02:50:00
18,0.397202,2022-01-01 03:00:00
19,0.865123,2022-01-01 03:10:00
20,1.20055,2022-01-01 03:20:00
21,1.19128,2022-01-01 03:30:00
22,1.47702,2022-01-01 03:40:00
23,1.77385,2022-01-01 03:50:00
24,1.87784,2022-01-01 04:00:00
25,1.62211,2022-01-01 04:10:00
26,1.7443,2022-01-01 04:20:00
27,2.01786,2022-01-01 04:30:00
28,2.03977,2022-01-01 04:40:00
29,2.25637,2022-01-01 04:50:00
30,2.61114,2022-01-01 05:00:00
31,2.46279,2022-01-01 05:10:00
32,2.60419,2022-01-01 05:20:00
33,2.7119,2022-01-01 05:30:00
34,2.32868,2022-01-01 05:40:00
35,1.95089,2022-01-01 05:50:00
36,1.65787,2022-01-01 06:00:00
37,1.41723,2022-01-01 06:10:00
38,2.98561,2022-01-01 06:20:00
39,3.5153,2022-01-01 06:30:00
40,3.75533,2022-01-01 06:40:00
41,3.78031,2022-01-01 06:50:00
42,3.87258,2022-01-01 07:00:00
43,3.52947,2022-01-01 07:10:00
44,3.23672,2022-01-01 07:20:00
45,2.34368,2022-01-01 07:30:00
46,1.93192,2022-01-01 07:40:00
47,1.39983,2022-01-01 07:50:00
48,2.34182,2022-01-01 08:00:00
49,4.26462,2022-01-01 08:10:00
50,4.08212,2022-01-01 08:20:00
51,3.45067,2022-01-01 08:30:00
52,4.79736,2022-01-01 08:40:00
53,5.23835,2022-01-01 08:50:00
54,5.21923,2022-01-01 09:00:00
55,4.78346,2022-01-01 09:10:00
56,5.32624,2022-01-01 09:20:00
57,5.23253,2022-01-01 09:30:00
58,4.99458,2022-01-01 09:40:00
59,4.40488,2022-01-01 09:50:00
60,3.68937,2022-01-01 10:00:00
61,4.31111,2022-01-01 10:10:00
62,5.08132,2022-01-01 10:20:00
63,4.75145,2022-01-01 10:30:00
64,5.03579,2022-01-01 10:40:00
65,4.38881,2022-01-01 10:50:00
66,4.59043,2022-01-01 11:00:00
67,3.55541,2022-01-01 11:10:00
68,3.13308,2022-01-01 11:20:00
69,2.85951,2022-01-01 11:30:00
70,3.58519,2022-01-01 11:40:00
71,3.41245,2022-01-01 11:50:00
72,3.99419,2022-01-01 12:00:00
73,3.47646,2022-01-01 12:10:00
74,3.37525,2022-01-01 12:20:00
75,3.73736,2022-01-01 12:30:00
76,4.50843,2022-01-01 12:40:00
77,4.61548,2022-01-01 12:50:00
78,3.8229,2022-01-01 13:00:00
79,2.86411,2022-01-01 13:10:00
80,2.29228,2022-01-01 13:20:00
81,2.40766,2022-01-01 13:30:00
82,2.91915,2022-01-01 13:40:00
83,3.16252,2022-01-01 13:50:00
84,3.19278,2022-01-01 14:00:00
85,2.81329,2022-01-01 14:10:00
86,2.37966,2022-01-01 14:20:00
87,1.88647,2022-01-01 14:30:00
88,1.61941,2022-01-01 14:40:00
89,1.87314,2022-01-01 14:50:00
90,2.34938,2022-01-01 15:00:00
91,2.44216,2022-01-01 15:10:00
92,2.0737,2022-01-01 15:20:00
93,1.85913,2022-01-01 15:30:00
94,1.51149,2022-01-01 15:40:00
95,1.76493,2022-01-01 15:50:00
96,2.83569,2022-01-01 16:00:00
97,2.69206,2022-01-01 16:10:00
98,2.05257,2022-01-01 16:20:00
99,2.44271,2022-01-01 16:30:00
100,2.86556,2022-01-01 16:40:00
101,2.73662,2022-01-01 16:50:00
102,2.45912,2022-01-01 17:00:00
103,1.77247,2022-01-01 17:10:00
104,1.36909,2022-01-01 17:20:00
105,1.71612,2022-01-01 17:30:00
106,2.04067,2022-01-01 17:40:00
107,2.11219,2022-01-01 17:50:00
108,2.50972,2022-01-01 18:00:00
109,2.83454,2022-01-01 18:10:00
110,2.0425,2022-01-01 18:20:00
111,1.74589,2022-01-01 18:30:00
112,1.76063,2022-01-01 18:40:00
113,1.43349,2022-01-01 18:50:00
114,1.87732,2022-01-01 19:00:00
115,2.46379,2022-01-01 19:10:00
116,2.58475,2022-01-01 19:20:00
117,2.45586,2022-01-01 19:30:00
118,2.3056,2022-01-01 19:40:00
119,2.59132,2022-01-01 19:50:00
120,2.79856,2022-01-01 20:00:00
121,2.92647,2022-01-01 20:10:00
122,3.26038,2022-01-01 20:20:00
123,3.01063,2022-01-01 20:30:00
124,2.44041,2022-01-01 20:40:00
125,3.11147,2022-01-01 20:50:00
126,3.86558,2022-01-01 21:00:00
127,3.70928,2022-01-01 21:10:00
128,3.52922,2022-01-01 21:20:00
129,2.85982,2022-01-01 21:30:00
130,1.97216,2022-01-01 21:40:00
131,1.30576,2022-01-01 21:50:00
132,0.864318,2022-01-01 22:00:00
133,0.919483,2022-01-01 22:10:00
134,1.29139,2022-01-01 22:20:00
135,1.70288,2022-01-01 22:30:00
136,1.43906,2022-01-01 22:40:00
137,0.888484,2022-01-01 22:50:00
138,0.906267,2022-01-01 23:00:00
139,1.29749,2022-01-01 23:10:00
140,1.84307,2022-01-01 23:20:00
141,2.10569,2022-01-01 23:30:00
142,2.10556,2022-01-01 23:40:00
143,1.76268,2022-01-01 23:50:00
144,1.67743,2022-01-02 00:00:00
145,1.56703,2022-01-02 00:10:00
146,1.64581,2022-01-02 00:20:00
147,2.3248,2022-01-02 00:30:00
148,1.39152,2022-01-02 00:40:00
149,2.30777,2022-01-02 00:50:00
150,2.23344,2022-01-02 01:00:00
151,1.03322,2022-01-02 01:10:00
152,1.33348,2022-01-02 01:20:00
153,1.08208,2022-01-02 01:30:00
154,0.927348,2022-01-02 01:40:00
155,1.54152,2022-01-02 01:50:00
156,0.744468,2022-01-02 02:00:00
157,1.4524,2022-01-02 02:10:00
158,1.88395,2022-01-02 02:20:00
159,1.12779,2022-01-02 02:30:00
160,3.56773,2022-01-02 02:40:00
161,6.70076,2022-01-02 02:50:00
162,2.37956,2022-01-02 03:00:00
163,0.913448,2022-01-02 03:10:00
164,1.35959,2022-01-02 03:20:00
165,0.662094,2022-01-02 03:30:00
166,1.84729,2022-01-02 03:40:00
167,2.6586,2022-01-02 03:50:00
168,2.71372,2022-01-02 04:00:00
169,2.44731,2022-01-02 04:10:00
170,2.37798,2022-01-02 04:20:00
171,2.75743,2022-01-02 04:30:00
172,2.76961,2022-01-02 04:40:00
173,2.34254,2022-01-02 04:50:00
174,2.99335,2022-01-02 05:00:00
175,2.74054,2022-01-02 05:10:00
176,2.24524,2022-01-02 05:20:00
177,1.65605,2022-01-02 05:30:00
178,1.62968,2022-01-02 05:40:00
179,1.73471,2022-01-02 05:50:00
180,3.27831,2022-01-02 06:00:00
181,4.28604,2022-01-02 06:10:00
182,4.8923,2022-01-02 06:20:00
183,5.28047,2022-01-02 06:30:00
184,4.98014,2022-01-02 06:40:00
185,4.27122,2022-01-02 06:50:00
186,4.09245,2022-01-02 07:00:00
187,5.04103,2022-01-02 07:10:00
188,5.43951,2022-01-02 07:20:00
189,3.97693,2022-01-02 07:30:00
190,3.46618,2022-01-02 07:40:00
191,2.97395,2022-01-02 07:50:00
192,2.47631,2022-01-02 08:00:00
193,2.47317,2022-01-02 08:10:00
194,3.80329,2022-01-02 08:20:00
195,2.47984,2022-01-02 08:30:00
196,2.88751,2022-01-02 08:40:00
197,2.48695,2022-01-02 08:50:00
198,3.58863,2022-01-02 09:00:00
199,3.10895,2022-01-02 09:10:00
200,2.32912,2022-01-02 09:20:00
201,2.05271,2022-01-02 09:30:00
202,1.48182,2022-01-02 09:40:00
203,1.14603,2022-01-02 09:50:00
204,0.795921,2022-01-02 10:00:00
205,0.770786,2022-01-02 10:10:00
206,0.439902,2022-01-02 10:20:00
207,0.818346,2022-01-02 10:30:00
208,1.07067,2022-01-02 10:40:00
209,0.583212,2022-01-02 10:50:00
210,1.19803,2022-01-02 11:00:00
211,1.54144,2022-01-02 11:10:00
212,1.58167,2022-01-02 11:20:00
213,1.35028,2022-01-02 11:30:00
214,1.70102,2022-01-02 11:40:00
215,1.83648,2022-01-02 11:50:00
216,1.60459,2022-01-02 12:00:00
217,1.69055,2022-01-02 12:10:00
218,2.11647,2022-01-02 12:20:00
219,2.27346,2022-01-02 12:30:00
220,2.46465,2022-01-02 12:40:00
221,2.65828,2022-01-02 12:50:00
